profile,family,canonical_name,classification,implementation,avg_cycles,min_cycles,max_cycles,zp_bytes,native_bytes,adapter_or_delta_cycles,provenance
v2_pareto_fast,SDIV32_32,div_s32_s32_s32_32,native_signed_kernel,private native-signed 32/32 divider core,567.765717,75,2399,,,see delta audit,validation/review/SIGNED_DIVISION_VALIDATION.json
v3_reu_512k,SMUL8,mul_s8_s8_s16,native_signed_kernel,direct signed-domain quarter-square kernel with private signed-sum planes,67.992188,66,70,0,46,n/a,"validation/multiply_refresh/MULTIPLY_REFRESH_BENCHMARK.json; exhaustive all 65,536 inputs"
v3_reu_512k,SMUL16,mul_s16_s16_s32,native_signed_kernel,116-ZP practical native signed quarter-square kernel; retained after FAST17 comparison,252.623962,230,293,116,217,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; retained after controlled FAST17 comparison
v3_reu_512k,SMUL24,mul_s24_s24_s48,native_signed_kernel,FAST24 four-quadrant native signed composition; immutable quarter-square tables shared,486.816106,430,546,24,473,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; FAST24 four-quadrant composition
v3_reu_512k,SMUL32,mul_s32_s32_s64,native_signed_kernel,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,744.033209,660,873,31,1406,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; FAST31/V29 mixed-call-safe path
v3_reu_512k,SDIV8,div_s8_s8_s8_8,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,120.786713,63,613,5,458,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v3_reu_512k,SDIV16,div_s16_s16_s16_16,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,218.538059,114,1073,12,1572,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v3_reu_512k,SDIV24,div_s24_s24_s24_24,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,305.640131,153,3089,21,1876,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v3_reu_512k,SDIV32_16,div_s32_s16_s32_16,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,868.222028,204,2008,18,2075,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v3_reu_512k,SDIV32_32,div_s32_s32_s32_32,native_signed_kernel,private native-signed 32/32 divider core,567.148952,75,2399,,,see delta audit,validation/review/SIGNED_DIVISION_VALIDATION.json
v4_reu_16m,SMUL8,mul_s8_s8_s16,native_signed_kernel,direct signed-domain quarter-square kernel with private signed-sum planes,67.992188,66,70,0,46,n/a,"validation/multiply_refresh/MULTIPLY_REFRESH_BENCHMARK.json; exhaustive all 65,536 inputs"
v4_reu_16m,SMUL16,mul_s16_s16_s32,native_signed_kernel,116-ZP practical native signed quarter-square kernel; retained after FAST17 comparison,252.662553,230,293,116,217,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; retained after controlled FAST17 comparison
v4_reu_16m,SMUL24,mul_s24_s24_s48,native_signed_kernel,FAST24 four-quadrant native signed composition; immutable quarter-square tables shared,487.220008,430,550,24,473,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; FAST24 four-quadrant composition
v4_reu_16m,SMUL32,mul_s32_s32_s64,native_signed_kernel,FAST31/V29 native signed quadrant composition; mixed-call-safe public path,744.090079,660,873,31,1406,n/a,validation/review/SIGNED_MULTIPLY_VALIDATION.json; FAST31/V29 mixed-call-safe path
v4_reu_16m,SDIV8,div_s8_s8_s8_8,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,121.487723,63,611,5,458,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v4_reu_16m,SDIV16,div_s16_s16_s16_16,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,216.681352,114,1073,12,1572,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v4_reu_16m,SDIV24,div_s24_s24_s24_24,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,306.378190,153,3089,21,1876,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v4_reu_16m,SDIV32_16,div_s32_s16_s32_16,native_signed_kernel,native signed divide engine; no corresponding unsigned executable dependency,864.277208,204,2008,18,2075,already executable-independent,validation/review/SIGNED_DIVISION_VALIDATION.json
v4_reu_16m,SDIV32_32,div_s32_s32_s32_32,native_signed_kernel,private native-signed 32/32 divider core,567.507613,75,2399,,,see delta audit,validation/review/SIGNED_DIVISION_VALIDATION.json
