signedness,operation,width,entry,canonical_name,address,implementation_status,standalone_file
unsigned,modulo,24,MATH_UMOD24,mod_u24_u24_u24,$3223,optimized existing,mod_u24_u24_u24__math_umod24.asm
unsigned,modulo,32/16,MATH_UMOD32_16,mod_u32_u16_u16,$3226,optimized existing,mod_u32_u16_u16__math_umod32_16.asm
signed,divide,8,MATH_SDIV8,div_s8_s8_s8_8,$3CA0,native signed DIV,div_s8_s8_s8_8.asm
signed,divide,16,MATH_SDIV16,div_s16_s16_s16_16,$3D20,native signed DIV,div_s16_s16_s16_16.asm
signed,divide,24,MATH_SDIV24,div_s24_s24_s24_24,$3DE0,native signed DIV,div_s24_s24_s24_24.asm
signed,divide,32/16,MATH_SDIV32_16,div_s32_s16_s32_16,$3EE0,native signed DIV,div_s32_s16_s32_16.asm
signed,modulo/remainder,8,MATH_SMOD8,mod_s8_s8_s8,$3FD4,alias of native SDIV remainder,mod_s8_s8_s8__math_smod8.asm
signed,modulo/remainder,16,MATH_SMOD16,mod_s16_s16_s16,$3FD7,alias of native SDIV remainder,mod_s16_s16_s16__math_smod16.asm
signed,modulo/remainder,24,MATH_SMOD24,mod_s24_s24_s24,$3FDA,alias of native SDIV remainder,mod_s24_s24_s24__math_smod24.asm
signed,modulo/remainder,32/16,MATH_SMOD32_16,mod_s32_s16_s16,$3FDD,alias of native SDIV remainder,mod_s32_s16_s16__math_smod32_16.asm
unsigned,divide,32/32,MATH_UDIV32_32,div_u32_u32_u32_32,$5E00,native tiered 32/32,div_u32_u32_u32_32.asm
unsigned,modulo,32/32,MATH_UMOD32_32,mod_u32_u32_u32,$5E03,alias of UDIV32_32; q+r returned,mod_u32_u32_u32__math_umod32_32.asm
signed,divide,32/32,MATH_SDIV32_32,div_s32_s32_s32_32,$5E06,native signed magnitude + tiered core,div_s32_s32_s32_32.asm
signed,modulo/remainder,32/32,MATH_SMOD32_32,mod_s32_s32_s32,$5E09,alias of SDIV32_32; q+r returned,mod_s32_s32_s32__math_smod32_32.asm
unsigned,fixed multiply shift,16x16 >> 8,MATH_UMUL16_SHR8,mul_u16_u16_u24_shr8,$5E0C,profile-selected multiply producer,mul_u16_u16_u24_shr8.asm
signed,fixed multiply shift,16x16 >> 8,MATH_SMUL16_SHR8,mul_s16_s16_s24_shr8,$5E0F,native signed producer,mul_s16_s16_s24_shr8.asm
unsigned,fixed multiply shift,32x32 >> 16,MATH_UMUL32_SHR16,mul_u32_u32_u48_shr16,$5E12,profile-selected multiply producer,mul_u32_u32_u48_shr16.asm
signed,fixed multiply shift,32x32 >> 16,MATH_SMUL32_SHR16,mul_s32_s32_s48_shr16,$5E15,native signed producer,mul_s32_s32_s48_shr16.asm
unsigned,fixed divide shift,(16 << 8)/16,MATH_UDIV16_SHL8,div_u16_u16_u24_16_shl8,$5E18,adapter into selected 32/16 divider,div_u16_u16_u24_16_shl8.asm
signed,fixed divide shift,(16 << 8)/16,MATH_SDIV16_SHL8,div_s16_s16_s24_16_shl8,$5E1B,adapter into native signed 32/16 divider,div_s16_s16_s24_16_shl8.asm
unsigned,reciprocal,Q16 from d16,MATH_URECIP16_Q16,recip_u16_u24_q16,$5E1E,exact quotient ladder + profile fallback,recip_u16_u24_q16.asm
signed,trig sine,phase8 -> s8,MATH_SIN8,sin_u8_s8,$5E21,table,sin_u8_s8.asm
signed,trig cosine,phase8 -> s8,MATH_COS8,cos_u8_s8,$5E24,table/phase offset,cos_u8_s8.asm
signed,trig sincos,phase8 -> 2xs8,MATH_SINCOS8,sincos_u8_s8_s8,$5E27,paired table,sincos_u8_s8_s8.asm
signed,angle,"atan2(s8,s8) -> phase8",MATH_ATAN2_8,atan2_s8_s8_u8,$5E2A,V1 compact-opt signed-log; V2/V3/V5 sum-fast signed-log; V4 exact REU,atan2_s8_s8_u8.asm
unsigned,integer square root,16 -> 16,MATH_ISQRT16,isqrt_u16_u16,$5E2D,exact table search; V4 exact REU,isqrt_u16_u16.asm
unsigned,integer square root,32 -> 16,MATH_ISQRT32,isqrt_u32_u16,$5E30,exact ISQRT16-seeded hybrid + 8 base-4 refinement steps,isqrt_u32_u16.asm
signed,distance approximation,"s8,s8 -> u8",MATH_DIST8_FAST,dist_s8_s8_u8_fast,$5E33,max + min/2,dist_s8_s8_u8_fast.asm
signed,distance approximation,"s8,s8 -> u8",MATH_DIST8_ACCURATE,dist_s8_s8_u8_accurate,$5E36,exhaustively selected 243/107 coefficients,dist_s8_s8_u8_accurate.asm
signed,vector normalize,2xs16 Q8.8 -> 2xs16 Q1.15,MATH_VEC2_NORMALIZE_Q8_8,normalize_s16_s16_s16_s16_q8_8_to_q1_15,$5E39,profile-selected normalized direction; C=1 only for zero vector,normalize_s16_s16_s16_s16_q8_8_to_q1_15.asm
unsigned,move toward target,"u8 x,u8 y target; Q8.8 speed",MATH_SEEK8_INIT,seek_u8_u8_init,$5E3C,exact Bresenham/DDA move setup; C=1 if already on target,seek_u8_u8_init.asm
unsigned,move toward target,"u8 x,u8 y per slot",MATH_SEEK8_STEP,seek_u8_u8_step,$5E3F,one frame at Q8.8 speed; C=1 on arrival,seek_u8_u8_step.asm
unsigned,move toward target,"u8 x,u8 y per slot",MATH_SEEK8_STEP_INT,seek_u8_u8_step_int,$5E42,one frame at integer speed; C=1 on arrival,seek_u8_u8_step_int.asm
unsigned,move toward target,"u8 x,u8 y per slot",MATH_SEEK8_STEP1,seek_u8_u8_step1,$5E45,one frame at 1 px/frame (NMOS DCP); C=1 on arrival,seek_u8_u8_step1.asm
unsigned,move toward target,"u16 x,u8 y target; Q8.8 speed",MATH_SEEK16_INIT,seek_u16_u8_init,$5E48,exact Bresenham/DDA move setup; C=1 if already on target,seek_u16_u8_init.asm
unsigned,move toward target,"u16 x,u8 y per slot",MATH_SEEK16_STEP,seek_u16_u8_step,$5E4B,one frame at Q8.8 speed; C=1 on arrival,seek_u16_u8_step.asm
unsigned,move toward target,"u16 x,u8 y per slot",MATH_SEEK16_STEP_INT,seek_u16_u8_step_int,$5E4E,one frame at integer speed; C=1 on arrival,seek_u16_u8_step_int.asm
unsigned,move toward target,"u16 x,u8 y per slot",MATH_SEEK16_STEP1,seek_u16_u8_step1,$5E51,one frame at 1 px/frame (NMOS DCP); C=1 on arrival,seek_u16_u8_step1.asm
