profile,routine,canonical_name,api_class,signedness,operation,width,mean_cycles,min_cycles,max_cycles,cases,cycle_basis,reachable_code_bytes,zp_bytes,zp_ranges,stack_page_reserved_bytes,profile_prg_payload_span_bytes,profile_reu_image_bytes,profile_declared_shared_zp_bytes,implementation,notes
v2_pareto_fast,MATH_UMOD32_16,mod_u32_u16_u16,stable,unsigned,modulo,32/16,792.160335,178,1883,1553,2026-09-20 unsigned division-family validation,1893,12,$10-$1B,0,49047,0,,profile-selected native 32/16 divider,
v2_pareto_fast,MATH_SDIV8,div_s8_s8_s8_8,stable,signed,divide,8,88.372650,26,600,65536,current native-signed division validation,533,1,$10,0,49047,0,,direct-output native signed 8-bit divider; executable-disjoint from UDIV8,exhaustive
v2_pareto_fast,MATH_SDIV16,div_s16_s16_s16_16,stable,signed,divide,16,169.428135,54,1159,4585,current native-signed division validation,1771,4,$10-$13,0,49047,0,,fast direct-output native signed 16-bit divider,structured_random
v2_pareto_fast,MATH_SDIV24,div_s24_s24_s24_24,stable,signed,divide,24,248.344384,57,3339,4585,current native-signed division validation,1570,9,$10-$18,0,49047,0,,fast direct-output native signed 24-bit divider,structured_random
v2_pareto_fast,MATH_SDIV32_16,div_s32_s16_s32_16,stable,signed,divide,32/16,833.995638,166,1973,4585,current native-signed division validation,2122,12,$44-$4F,0,49047,0,,direct-output native signed 32/16 divider,structured_random
v2_pareto_fast,MATH_SMOD8,mod_s8_s8_s8,stable,signed,modulo/remainder,8,97.066406,26,598,1280,current native-signed division validation,533,1,$10,0,49047,0,,direct-output native signed 8-bit divider; executable-disjoint from UDIV8,
v2_pareto_fast,MATH_SMOD16,mod_s16_s16_s16,stable,signed,modulo/remainder,16,233.088809,54,1159,1385,current native-signed division validation,1771,4,$10-$13,0,49047,0,,fast direct-output native signed 16-bit divider,
v2_pareto_fast,MATH_SMOD24,mod_s24_s24_s24,stable,signed,modulo/remainder,24,337.075090,57,3339,1385,current native-signed division validation,1570,9,$10-$18,0,49047,0,,fast direct-output native signed 24-bit divider,
v2_pareto_fast,MATH_SMOD32_16,mod_s32_s16_s16,stable,signed,modulo/remainder,32/16,861.849097,169,1976,1385,current native-signed division validation,2125,12,$44-$4F,0,49047,0,,direct-output native signed 32/16 divider,
v2_pareto_fast,MATH_UDIV32_32,div_u32_u32_u32_32,stable,unsigned,divide,32/32,401.556389,90,2285,6801,2026-09-20 unsigned division-family validation,869,8,$53-$5A,0,49047,0,,native tiered 32/32 divider with early q=0 gate,structured_random
v2_pareto_fast,MATH_UMOD32_32,mod_u32_u32_u32,stable,unsigned,modulo,32/32,524.881520,90,2285,1553,2026-09-20 unsigned division-family validation,869,8,$53-$5A,0,49047,0,,native tiered 32/32 divider with early q=0 gate,
v2_pareto_fast,MATH_SDIV32_32,div_s32_s32_s32_32,stable,signed,divide,32/32,553.098146,75,2384,6633,current native-signed division validation,894,10,$53-$5C,0,49047,0,,native signed 32/32 magnitude path with redundant zero-test removed,structured_random
v2_pareto_fast,MATH_SMOD32_32,mod_s32_s32_s32,stable,signed,modulo/remainder,32/32,746.032491,75,2384,1385,current native-signed division validation,894,10,$53-$5C,0,49047,0,,native signed 32/32 magnitude path with redundant zero-test removed,
v2_pareto_fast,MATH_UMUL16_SHR8,mul_u16_u16_u24_shr8,stable,unsigned,fixed multiply shift,16x16 >> 8,266.965600,255,290,5000,2026-09-14 post-upgrade deterministic comparison corpus,197,17,$21-$31,0,49047,0,,profile-selected resident implementation,
v2_pareto_fast,MATH_SMUL16_SHR8,mul_s16_s16_s24_shr8,stable,signed,fixed multiply shift,16x16 >> 8,293.411374,271,334,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,243,116,$80-$F3,0,49047,0,,116-ZP practical native SMUL16 plus SHR8 extraction,
v2_pareto_fast,MATH_UMUL32_SHR16,mul_u32_u32_u48_shr16,stable,unsigned,fixed multiply shift,32x32 >> 16,779.876404,717,896,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,380,31,$02-$20,0,49047,0,,FAST31/V29-derived UMUL32 producer plus existing SHR16 extraction,
v2_pareto_fast,MATH_SMUL32_SHR16,mul_s32_s32_s48_shr16,stable,signed,fixed multiply shift,32x32 >> 16,812.998853,725,938,4361,2026-09-20 multiply-refresh deterministic cross-profile corpus,1450,31,$02-$20,0,49047,0,,FAST31/V29 SMUL32 producer plus existing SHR16 extraction,
v2_pareto_fast,MATH_UDIV16_SHL8,div_u16_u16_u24_16_shl8,stable,unsigned,fixed divide shift,(16 << 8)/16,764.129182,272,1849,4753,2026-09-20 unsigned division-family validation,1957,16,$10-$1B;$53-$56,0,49047,0,,fixed-point adapter into selected unsigned 32/16 divider,structured_random
v2_pareto_fast,MATH_SDIV16_SHL8,div_s16_s16_s24_16_shl8,stable,signed,fixed divide shift,(16 << 8)/16,834.061287,266,1908,4585,current native-signed division validation,2195,16,$44-$4F;$53-$56,0,49047,0,,fixed-point adapter into selected native signed 32/16 divider,structured_random
v2_pareto_fast,MATH_URECIP16_Q16,recip_u16_u24_q16,stable,unsigned,reciprocal,Q16 from d16,118.523834,41,2138,65536,2026-09-20 unsigned division-family validation,1887,9,$10-$12;$61-$64;$67-$68,0,49047,0,,exact reciprocal ladder with selected profile division fallback,exhaustive
v2_pareto_fast,MATH_SIN8,sin_u8_s8,stable,signed,trig sine,phase8 -> s8,23.000000,23,23,256,current exhaustive/profile game-math benchmark,14,0,,0,49047,0,,profile-selected resident implementation,
v2_pareto_fast,MATH_COS8,cos_u8_s8,stable,signed,trig cosine,phase8 -> s8,23.000000,23,23,256,current exhaustive/profile game-math benchmark,14,0,,0,49047,0,,profile-selected resident implementation,
v2_pareto_fast,MATH_SINCOS8,sincos_u8_s8_s8,stable,signed,trig sincos,phase8 -> 2xs8,31.000000,31,31,256,current exhaustive/profile game-math benchmark,20,0,,0,49047,0,,profile-selected resident implementation,
v2_pareto_fast,MATH_ATAN2_8,atan2_s8_s8_u8,stable,signed,angle,"atan2(s8,s8) -> phase8",44.962814,29,47,65536,current exhaustive/profile game-math benchmark,88,0,,0,49047,0,,sum_fast carry-clearing signed-log kernel; four table pages; exact parity with prior fast outputs,
v2_pareto_fast,MATH_ISQRT16,isqrt_u16_u16,stable,unsigned,integer square root,16 -> 16,205.760590,193,246,65536,current exhaustive/profile game-math benchmark,259,1,$66,0,49047,0,,profile-selected resident implementation,
v2_pareto_fast,MATH_ISQRT32,isqrt_u32_u16,stable,unsigned,integer square root,32 -> 16,1198.619613,1052,1428,4130,current exhaustive/profile game-math benchmark,440,10,$54-$5C;$66,0,49047,0,,profile-selected resident implementation,
v2_pareto_fast,MATH_DIST8_FAST,dist_s8_s8_u8_fast,stable,signed,distance approximation,"s8,s8 -> u8",79.570038,64,95,65536,current exhaustive/profile game-math benchmark,58,2,$5D-$5E,0,49047,0,,profile-selected resident implementation,
v2_pareto_fast,MATH_DIST8_ACCURATE,dist_s8_s8_u8_accurate,stable,signed,distance approximation,"s8,s8 -> u8",85.570038,70,101,65536,current exhaustive/profile game-math benchmark,63,2,$5D-$5E,0,49047,0,,profile-selected resident implementation,
v2_pareto_fast,MATH_VEC2_NORMALIZE_Q8_8,normalize_s16_s16_s16_s16_q8_8_to_q1_15,stable,signed,vector normalize,2xs16 Q8.8 -> 2xs16 Q1.15,160.150080,84,302,107396,2026-09-21 normalize profile-parity deterministic corpus,881,4,$1A-$1D,0,49047,0,,quadrant-specific paths; certified logarithmic ratio tables,Q8.8 -> Q1.15; certified <=0.3621 deg / <=202 LSB; quadrant-specific paths
v2_pareto_fast,MATH_SEEK8_INIT,seek_u8_u8_init,stable,unsigned,move toward target,"u8 x,u8 y target; Q8.8 speed",543.965482,137,888,4896,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),392,14,$53-$5F;$65,0,49047,0,,exact bulk-Bresenham DDA setup; no multiply/divide; init scratch in game-scratch ZP,"major-axis speed 336.52, Euclidean 751.41, integer 310.57, 1 px/frame 279.43"
v2_pareto_fast,MATH_SEEK8_STEP,seek_u8_u8_step,stable,unsigned,move toward target,"u8 x,u8 y per slot",87.136511,77,91,453020,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),176,0,,0,49047,0,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v2_pareto_fast,MATH_SEEK8_STEP_INT,seek_u8_u8_step_int,stable,unsigned,move toward target,"u8 x,u8 y per slot",70.992770,61,74,94048,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),96,0,,0,49047,0,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
v2_pareto_fast,MATH_SEEK8_STEP1,seek_u8_u8_step1,stable,unsigned,move toward target,"u8 x,u8 y per slot",65.953959,54,69,44960,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),91,0,,0,49047,0,,NMOS DCP distance countdown; X-indexed per-slot state; exact arrival,
v2_pareto_fast,MATH_SEEK16_INIT,seek_u16_u8_init,stable,unsigned,move toward target,"u16 x,u8 y target; Q8.8 speed",702.713848,187,1150,4896,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),503,18,$53-$64,0,49047,0,,exact bulk-Bresenham DDA setup; no multiply/divide; init scratch in game-scratch ZP,"major-axis speed 479.62, Euclidean 925.81, integer 458.07, 1 px/frame 382.66"
v2_pareto_fast,MATH_SEEK16_STEP,seek_u16_u8_step,stable,unsigned,move toward target,"u16 x,u8 y per slot",118.688882,102,150,514923,2026-09-25 seek profile benchmark (408 moves x speeds; every frame verified),282,0,,0,49047,0,,X-indexed per-slot state; carries pre-biased into stored deltas; exact arrival,
